Commuting Zone,czname,ncollege,nfouryr,nfouryrpriv,npub,nelite,hascollege,Income Age 26 Slope,Income Age 26 Intercept,College Age 19 Slope,College Age 19 Intercept,Number of Children,Birth Cohort
29008,Center,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
29101,Concordia,1,0,0,1,0,1,0.20943999999999999,0.50126999999999999,0.63897000000000004,0.43765999999999999,251,1986
29102,Superior,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
29103,Beloit,1,0,0,1,0,1,NA,NA,NA,NA,NA,1986
29104,Salina,1,1,1,0,0,1,0.24548,0.42709000000000003,0.79113999999999995,0.19270000000000001,898,1986
29201,Hiawatha,0,0,0,0,0,0,0.27546999999999999,0.50248000000000004,0.69908999999999999,0.38580999999999999,340,1986
29202,Marysville,0,0,0,0,0,0,0.20907999999999999,0.51998999999999995,0.73873999999999995,0.33411000000000002,267,1986
29203,Manhattan,1,1,0,1,0,1,0.25468000000000002,0.39967999999999998,0.74929999999999997,0.17629,1933,1986
29204,Topeka,3,3,1,2,0,1,0.23743,0.40056000000000003,0.75073999999999996,0.17485999999999999,4088,1986
29301,Wichita,6,3,2,3,0,1,0.29121999999999998,0.37163000000000002,0.75278,0.16187000000000001,8018,1986
29302,Newton,4,3,3,0,0,1,0.21271999999999999,0.47521999999999998,0.68838999999999995,0.26718999999999998,1104,1986
29303,Winfield,2,1,1,1,0,1,0.20319000000000001,0.45185999999999998,0.64383999999999997,0.24604000000000001,746,1986
29401,Ottawa,1,0,0,1,0,1,0.27748,0.41760999999999998,0.69408000000000003,0.22974,757,1986
29402,Emporia,1,1,0,1,0,1,0.26734000000000002,0.43169000000000002,0.74905999999999995,0.23280000000000001,695,1986
29403,Bartlesville,3,0,0,3,0,1,0.27159,0.40964,0.78717999999999999,0.12822,2124,1986
29501,Leavenworth,1,1,1,0,0,1,0.27390999999999999,0.39179999999999998,0.73899999999999999,0.11988,1163,1986
29502,Kansas City,13,8,7,4,0,1,0.28419,0.36513000000000001,0.68764999999999998,0.16027,24353,1986
29503,St. Joseph,2,1,0,2,0,1,0.32906999999999997,0.36729000000000001,0.61407,0.15354000000000001,2153,1986
29504,Sedalia,0,0,0,0,0,0,0.28484999999999999,0.40938000000000002,0.54879999999999995,0.056509999999999998,1058,1986
29505,Polk,1,1,0,1,0,1,0.19666,0.4844,0.68123,0.25662000000000001,384,1986
29506,Bethany,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
29601,Columbia,9,7,5,3,0,1,0.29873,0.37413999999999997,0.59877999999999998,0.17710999999999999,3856,1986
29602,Eldon,0,0,0,0,0,0,0.34784999999999999,0.36451,0.66905999999999999,0.096119999999999997,927,1986
